Bump	Bumped	JohnJenner	HeadOfRiver	Bumped	Crews	Overall	MensCrews	Club	Crew	Crews	Day	Bump	HeadOfRiver	JohnJenner	LadiesCrews	Mens/Ladies	LadiesCrews	MensCrews	Number of Records	Overall	Position	Total Crews	Up/Down	Updated	Year
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy 2	1	Tues	0	0	-1	1	Women			1	-1	17	49	-1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 3	1	Tues	1	0	1	1	Women			1	1	28	49	1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 4	1	Tues	1	0	1	1	Women			1	1	35	49	1	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots	1	Tues	0	0	0	1	Women			1	0	8	49	0	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots 2	1	Tues	0	0	0	1	Women			1	0	30	49	0	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press	1	Tues	1	0	1	1	Women			1	1	6	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Tues	1	0	1	1	Women			1	1	32	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Tues	1	0	1	1	Women			1	1	46	49	1	Y	2016
0	1	-4	0	1	1	-1		Xpress	X-Press 4	1	Tues	0	0	-1	1	Women			1	-1	48	49	-1	Y	2016
0	0	0	0	0	1	0		99	99	1	Wed	0	0	0	1	Women			1	0	3	49	0	Y	2016
0	0	0	0	0	1	0		99	99 2	1	Wed	0	0	0	1	Women			1	0	15	49	0	Y	2016
1	0	4	0	0	1	1		99	99 3	1	Wed	1	0	1	1	Women			1	2	17	49	1	Y	2016
0	0	0	0	0	1	0		99	99 4	1	Wed	0	0	0	1	Women			1	0	29	49	0	Y	2016
0	0	0	0	0	1	0		99	99 5	1	Wed	0	0	0	1	Women			1	0	41	49	0	Y	2016
0	1	-4	0	1	1	-1		99	99 6	1	Wed	0	0	-1	1	Women			1	-2	44	49	-1	Y	2016
1	0	4	0	0	1	1		Camb Vets	Camb Vets	1	Wed	1	0	1	1	Women			1	2	12	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs	1	Wed	0	0	0	1	Women			1	0	2	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 10	1	Wed	1	0	1	1	Women			1	1	47	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 11	1	Wed	0	0	0	1	Women			1	1	48	49	0	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 2	1	Wed	1	0	1	1	Women			1	1	7	49	1	Y	2016
1	0	4	0	0	1	1		Cantabs	Cantabs 3	1	Wed	1	0	1	1	Women			1	1	14	49	1	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 4	1	Wed	0	0	0	1	Women			1	1	23	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 5	1	Wed	0	0	0	1	Women			1	-1	32	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 6	1	Wed	0	0	0	1	Women			1	0	33	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 7	1	Wed	0	0	0	1	Women			1	-1	39	49	0	Y	2016
0	0	0	0	0	1	0		Cantabs	Cantabs 8	1	Wed	0	0	0	1	Women			1	0	42	49	0	Y	2016
0	1	-4	0	1	1	-1		Cantabs	Cantabs 9	1	Wed	0	0	-1	1	Women			1	-2	46	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs	1	Wed	0	0	-1	1	Women			1	-1	11	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 2	1	Wed	0	0	-1	1	Women			1	-1	16	49	-1	Y	2016
1	0	4	0	0	1	1		Champs	Champs 3	1	Wed	1	0	1	1	Women			1	1	22	49	1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 4	1	Wed	0	0	-1	1	Women			1	-2	24	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 5	1	Wed	0	0	-1	1	Women			1	-2	26	49	-1	Y	2016
0	1	-4	0	1	1	-1		Champs	Champs 6	1	Wed	0	0	-1	1	Women			1	-2	35	49	-1	Y	2016
0	0	0	0	0	1	0		Champs	Champs 7	1	Wed	0	0	0	1	Women			1	1	43	49	0	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton	1	Wed	0	0	0	1	Women			1	1	9	49	0	Y	2016
1	0	4	0	0	1	1		Chesterton	Chesterton 2	1	Wed	1	0	1	1	Women			1	1	36	49	1	Y	2016
0	0	0	0	0	1	0		Chesterton	Chesterton 3	1	Wed	0	0	0	1	Women			1	0	40	49	0	Y	2016
0	0	4	1	0	1	1		City	City	1	Wed	1	1	0	1	Women			1	2	1	49	1	Y	2016
0	1	-4	0	1	1	-1		City	City 2	1	Wed	0	0	-1	1	Women			1	-1	4	49	-1	Y	2016
0	0	0	0	0	1	0		City	City 3	1	Wed	0	0	0	1	Women			1	-1	10	49	0	Y	2016
0	1	-4	0	1	1	-1		City	City 4	1	Wed	0	0	-1	1	Women			1	-2	13	49	-1	Y	2016
0	1	-4	0	1	1	-1		City	City 5	1	Wed	0	0	-1	1	Women			1	-2	21	49	-1	Y	2016
0	0	0	0	0	1	0		City	City 6	1	Wed	0	0	0	1	Women			1	1	20	49	0	Y	2016
1	0	4	0	0	1	1		City	City 7	1	Wed	1	0	1	1	Women			1	2	25	49	1	Y	2016
0	0	0	0	0	1	0		City	City 8	1	Wed	0	0	0	1	Women			1	0	37	49	0	Y	2016
0	0	0	0	0	1	0		Isle of Ely	Isle of Ely	1	Wed	0	0	0	1	Women			1	-1	28	49	0	Y	2016
1	0	4	0	0	1	1		Radegund	Radegund	1	Wed	1	0	1	1	Women			1	1	19	49	1	Y	2016
0	0	0	0	0	1	0		Radegund	Radegund 2	1	Wed	0	0	0	1	Women			1	1	38	49	0	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy	1	Wed	0	0	-1	1	Women			1	-2	6	49	-1	Y	2016
0	1	-4	0	1	1	-1		Rob Roy	Rob Roy 2	1	Wed	0	0	-1	1	Women			1	-2	18	49	-1	Y	2016
1	0	4	0	0	1	1		Rob Roy	Rob Roy 3	1	Wed	1	0	1	1	Women			1	2	27	49	1	Y	2016
0	0	0	0	0	1	0		Rob Roy	Rob Roy 4	1	Wed	0	0	0	1	Women			1	1	34	49	0	Y	2016
0	0	0	0	0	1	0		St Neots	St Neots	1	Wed	0	0	0	1	Women			1	0	8	49	0	Y	2016
0	1	-4	0	1	1	-1		St Neots	St Neots 2	1	Wed	0	0	-1	1	Women			1	-1	30	49	-1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press	1	Wed	1	0	1	1	Women			1	2	5	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 2	1	Wed	1	0	1	1	Women			1	2	31	49	1	Y	2016
1	0	4	0	0	1	1		Xpress	X-Press 3	1	Wed	1	0	1	1	Women			1	2	45	49	1	Y	2016
0	0	0	0	1	1	0		Xpress	X-Press 4	1	Wed	0	0	0	1	Women			1	-1	49	49	0	Y	2016
